source_repo,source_section,category,task,dataset,date,samples,modal,annotations,data_sources,gsd,paper,paper_url,link,link_url,image_size,text_count,image_count,content,description,entry_title,entry_url,mentioned_datasets,notes
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",kaggle-ships-in-Google-Earth-yolov8,,,,,,,,,kaggle-ships-in-Google-Earth-yolov8,https://github.com/robmarkcole/kaggle-ships-in-satellite-imagery-with-YOLOv8,,,,Applying YOLOv8 to Kaggle Ships in Google Earth dataset,Applying YOLOv8 to Kaggle Ships in Google Earth dataset,kaggle-ships-in-Google-Earth-yolov8,https://github.com/robmarkcole/kaggle-ships-in-satellite-imagery-with-YOLOv8,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",Ship-Detection-from-Satellite-Images-using-YOLOV4,,,,,,,,,Ship-Detection-from-Satellite-Images-using-YOLOV4,https://github.com/debasis-dotcom/Ship-Detection-from-Satellite-Images-using-YOLOV4,,,,uses Kaggle Airbus Ship Detection dataset,uses Kaggle Airbus Ship Detection dataset,Ship-Detection-from-Satellite-Images-using-YOLOV4,https://github.com/debasis-dotcom/Ship-Detection-from-Satellite-Images-using-YOLOV4,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",Satellite-Imagery-Datasets-Containing-Ships,,,,,,,,,Satellite-Imagery-Datasets-Containing-Ships,https://github.com/JasonManesis/Satellite-Imagery-Datasets-Containing-Ships,,,,"A list of optical and radar satellite datasets for ship detection, classification, semantic segmentation and instance segmentation tasks","A list of optical and radar satellite datasets for ship detection, classification, semantic segmentation and instance segmentation tasks",Satellite-Imagery-Datasets-Containing-Ships,https://github.com/JasonManesis/Satellite-Imagery-Datasets-Containing-Ships,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",Pytorch. Custom dataset; Project based on reduced model of Yolov5 architecture using Pytorch. Custom dataset,,,,,,,,,vesselTracker,https://github.com/carlossantamarizq/vesselTracker,,,,Project based on reduced model of Yolov5 architecture using Pytorch. Custom dataset based on SAR imagery provided by Sentinel-1 through Earth Engine API,Project based on reduced model of Yolov5 architecture using Pytorch. Custom dataset based on SAR imagery provided by Sentinel-1 through Earth Engine API,vesselTracker,https://github.com/carlossantamarizq/vesselTracker,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",FGSCR-42,,,,,,,,,FGSCR-42,https://github.com/DYH666/FGSCR-42,,,,A public Dataset for Fine-Grained Ship Classification in Remote sensing images,A public Dataset for Fine-Grained Ship Classification in Remote sensing images,FGSCR-42,https://github.com/DYH666/FGSCR-42,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",LEVIR-Ship,,,,,,,,,LEVIR-Ship,https://github.com/WindVChen/LEVIR-Ship,,,,a dataset for tiny ship detection under medium-resolution remote sensing images,a dataset for tiny ship detection under medium-resolution remote sensing images,LEVIR-Ship,https://github.com/WindVChen/LEVIR-Ship,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",Method for Tiny Ship Detection in Remote Sensing Images With a New Large-Scale Dataset,,,,,,,,,DRENet,https://github.com/WindVChen/DRENet,,,,A Degraded Reconstruction Enhancement-Based Method for Tiny Ship Detection in Remote Sensing Images With a New Large-Scale Dataset,A Degraded Reconstruction Enhancement-Based Method for Tiny Ship Detection in Remote Sensing Images With a New Large-Scale Dataset,DRENet,https://github.com/WindVChen/DRENet,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",xView3-The-First-Place-Solution,,,,,,,,,xView3-The-First-Place-Solution,https://github.com/BloodAxe/xView3-The-First-Place-Solution,,,,"A winning solution for xView 3 challenge (Vessel detection, classification and length estimation on Sentinetl-1 images). Contains trained models, inference pipeline and training code & configs to reproduce the results.","A winning solution for xView 3 challenge (Vessel detection, classification and length estimation on Sentinetl-1 images). Contains trained models, inference pipeline and training code & configs to reproduce the results.",xView3-The-First-Place-Solution,https://github.com/BloodAxe/xView3-The-First-Place-Solution,xView 3,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake","Object detection - Ships, boats, vessels & wake",Multiple Receptive Field Adaptive Feature Enhancement. Uses LEVIR-Ship & AI-TODv2 dataset,,,,,,,,,ORFENet,https://github.com/dyl96/ORFENet,,,,Tiny Object Detection in Remote Sensing Images Based on Object Reconstruction and Multiple Receptive Field Adaptive Feature Enhancement. Uses LEVIR-Ship & AI-TODv2 datasets,Tiny Object Detection in Remote Sensing Images Based on Object Reconstruction and Multiple Receptive Field Adaptive Feature Enhancement. Uses LEVIR-Ship & AI-TODv2 datasets,ORFENet,https://github.com/dyl96/ORFENet,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Cars, vehicles & trains","Object detection - Cars, vehicles & trains","Object detection - Cars, vehicles & trains",VEDAI dataset,,,,,,,,,pytorch-vedai,https://github.com/MichelHalmes/pytorch-vedai,,,,object detection on the VEDAI dataset: Vehicle Detection in Aerial Imagery,object detection on the VEDAI dataset: Vehicle Detection in Aerial Imagery,pytorch-vedai,https://github.com/MichelHalmes/pytorch-vedai,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
