source_repo,source_readme,source_line,source_section,entry_name,entry_url,action,link_status,target_file,target_id,description
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,54,Sentinel-2 (Optical),open-sentinel-map,https://github.com/VisionSystemsInc/open-sentinel-map,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/open-sentinel-map,The OpenSentinelMap dataset contains Sentinel-2 imagery and per-pixel semantic label masks derived from OpenStreetMap
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,55,Sentinel-2 (Optical),Canadian-cropland-dataset,https://github.com/bioinfoUQAM/Canadian-cropland-dataset,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/canadian-cropland-dataset,a novel patch-based dataset compiled using optical satellite images of Canadian agricultural croplands retrieved from Sentinel-2
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,56,Sentinel-2 (Optical),Sentinel-2 Cloud Cover Segmentation Dataset,https://web.archive.org/web/20230606184945/https://mlhub.earth/data/ref_cloud_cover_detection_challenge_v1,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/sentinel-2-cloud-cover-segmentation-dataset,on Radiant mlhub
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,57,Sentinel-2 (Optical),The Azavea Cloud Dataset,https://www.azavea.com/blog/2021/08/02/the-azavea-cloud-dataset/,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/the-azavea-cloud-dataset,which is used to train this cloud-model
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,60,Sentinel-2 (Optical),Ship-S2-AIS dataset,https://zenodo.org/record/7229756#.Y5GsgOzP1hE,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/ship-s2-ais-dataset,"13k tiles extracted from 29 free Sentinel-2 products. 2k images showing ships in Denmark sovereign waters: one may detect cargos, fishing, or container ships"
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,61,Sentinel-2 (Optical),Amazon Rainforest dataset for semantic segmentation,https://zenodo.org/record/3233081#.Y6LPLOzP1hE,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/amazon-rainforest-dataset-for-semantic-segmentation,Sentinel 2 images
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,62,Sentinel-2 (Optical),MATTER,https://github.com/periakiva/MATTER,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/matter,a Sentinel 2 dataset for Self-Supervised Training
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,64,Sentinel-2 (Optical),Generating Imperviousness Maps from Multispectral Sentinel-2 Satellite Imagery,https://zenodo.org/record/7058860#.ZDrAeuzMLdo,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/generating-imperviousness-maps-from-multispectral-sentinel-2-satellite-imagery,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,65,Sentinel-2 (Optical),Sentinel-2 Water Edges Dataset (SWED),https://openmldata.ukho.gov.uk/,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/sentinel-2-water-edges-dataset-swed,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,66,Sentinel-2 (Optical),Sentinel2 Munich480,https://www.kaggle.com/datasets/artelabsuper/sentinel2-munich480,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/sentinel2-munich480,dataset for crop mapping by exploiting the time series of Sentinel-2 satellite
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,67,Sentinel-2 (Optical),Meadows vs Orchards,https://www.kaggle.com/datasets/baptistel/meadows-vs-orchards,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/meadows-vs-orchards,a pixel time series dataset
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,68,Sentinel-2 (Optical),Sentinel-2 Image Time Series for Crop Mapping,https://www.kaggle.com/datasets/ignazio/sentinel2-crop-mapping,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/sentinel-2-image-time-series-for-crop-mapping,data for the Lombardy region in Italy
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,69,Sentinel-2 (Optical),Deforestation in Ukraine from Sentinel2 data,https://www.kaggle.com/datasets/isaienkov/deforestation-in-ukraine,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/deforestation-in-ukraine-from-sentinel2-data,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,70,Sentinel-2 (Optical),satellite-change-events,https://www.cs.cornell.edu/projects/satellite-change-events/,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/satellite-change-events,CaiRoad & CalFire change detection Sentinel 2 datasets
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,71,Sentinel-2 (Optical),Sentinel-2 dataset for ship detection,https://zenodo.org/records/3923841,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/sentinel-2-dataset-for-ship-detection,", also edited and redistributed as VDS2RAW"
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,72,Sentinel-2 (Optical),MineSegSAT,https://github.com/macdonaldezra/MineSegSAT,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/minesegsat,dataset for paper: AN AUTOMATED SYSTEM TO EVALUATE MINING DISTURBED AREA EXTENTS FROM SENTINEL-2 IMAGERY
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,75,Sentinel-2 (Optical),Greenearthnet,https://github.com/vitusbenson/greenearthnet/tree/main,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/greenearthnet,dataset specifically designed for high-resolution vegetation forecasting
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,76,Sentinel-2 (Optical),Floating-Marine-Debris-Data,https://github.com/miguelmendesduarte/Floating-Marine-Debris-Data,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/floating-marine-debris-data,"floating marine debris, with annotations for six debris classes, including plastic, driftwood, seaweed, pumice, sea snot, and sea foam."
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,78,Sentinel-2 (Optical),L1BSR,https://zenodo.org/records/7826696,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/l1bsr,3740 pairs of overlapping image crops extracted from two L1B products
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,82,Sentinel-2 (Optical),Sentinel-2 dataset for ship detection and characterization,https://zenodo.org/records/10418786,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/sentinel-2-dataset-for-ship-detection-and-characterization,RGB
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,86,Sentinel-2 (Optical),ShipWakes,https://zenodo.org/records/7947694,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/shipwakes,Keypoints Method for Recognition of Ship Wake Components in Sentinel-2 Images by Deep Learning
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,87,Sentinel-2 (Optical),TimeSen2Crop,https://zenodo.org/records/4715631,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/timesen2crop,a Million Labeled Samples Dataset of Sentinel 2 Image Time Series for Crop Type Classification
